Artist,Title
Dj Aligator,Protect Your Ears (Pulsedriver Remix)
Dj Gollum Vs. Basslovers United,Narcotic (Dj Tht Remix)
DJ Tapestop,Downtown (Extended Mix)
Doechii,Anxiety
Don't Get Me Wrong,The Pretenders
Don't Speak,No Doubt
Down,Jay Sean
Dr. Alban,It's My Life
Dr. Dre ft. Snoop Dogg,The Next Episode
Drew Sycamore,Change The World
DREW SYCAMORE,Another lovesong
Drew Sycamore,45 Fahrenheit Girl
Drew Sycamore,Lonely Heat
Drive By,Train
Drop Dead Beautiful,Six Was Nine
DUA LIPA,Houdini
Dua Lipa,Be The One
Dua Lipa,Dance the Night
Dua Lipa,Scared to Be Lonely
DubVision & Pontifexx,Stand By You
Dumb Feat. Charlott Boss,Timmy Trumpet
Durs,Walking on Clouds
E-Rotic,Sex on the Phone
"Earth, Wind and Fire",Let's Groove
East & Young,With You (Extended Mix)
Ed Sheeran,Azizam
Ed Sheeran,Bad Habits
Ed Sheeran,Shape Of You
Ed Sheeran,Perfect
ED SHEERAN / LIL BABY,2step
"Elton John, Dua Lipa",Cold Heart (PNAU Remix)
EMINEM,When i'm gone
Eminem,The Real Slim Shady (Claes' Nik & Jay Bootleg)
Eminem and Rihanna,Love The Way You Lie
Erasure,A Little Respect
Every Breath You Take,The Police
Everybody Hurts,R.E.M
Everything Counts,Depeche Mode
Falling In Love,Ub40
Fast Car,Luke Combs
Fat Joe ft. Ashanti,What's Luv?
Faustix & Rave Republic,Do You Think About Me
FELIX JAEHN / WHITNEY HOUSTON,It's not right but it's okay
Felix Jaehn ft. Jasmine Thompson,Ain't Nobody
Fergie,Big Girls Don't Cry
Fireflies,Owl City
FKA twigs,Perfect Stranger
Flashdance...What A Feeling,Irene Cara
FLO RIDA / ROBIN THICKE / VERDINE WHITE,"I don't like it, i love it"
Flying,Nice Little Penguins
FOOL,Worry
Forever Feat. Siobhan (De-Grees mix),Verde
From Paris To Berlin,Infernal
Gathania,Blame It On You (De-Grees Mix)
GEORGE EZRA,Hold my girl
George Michael,Faith
Groove Coverage,On The Radio (Danceboy Bootleg Mix)
Guess featuring Billie Eilish,Charli XCX
Gwen Stefani,The Sweet Escape
GWEN STEFANI / EVE,Rich girl
Harry Styles,Adore You
Harry Styles,As It Was
Harry Styles,Late Night Talking
Heaven Is A Place On Earth,Belinda Carlisle
Here With Me Feat CHVRCHES,Marshmello
Hey Little Girl,Icehouse
High,Lighthouse Family
Hold Me Now,Johnny Logan
Hollaback Girl,Gwen Stefani
How Do I Say Goodbye,Dean Lewis
How You Remind Me,Nickelback
Hozier,Take Me To Church
Hozier,Too Sweet
Huey Lewis and The News,If This Is It
Huey Lewis and The News,Stuck With You
Huey Lewis and The News,The Power Of Love
Hugel ft. Topic ft. Arash ft. Daecolm,I Adore You
"HUGEL, David Guetta, Kehlani, Daecolm",Think Of Me
Hugo Helmig,Please Don't Lie
Hungry Eyes,Eric Carmen
I Don't Want To Miss A Thing,Aerosmith
I Knew I Loved You,Savage Garden
I Like The Way You Kiss Me,Artemas
I Love It,Icona Pop
I Took A Pill In Ibiza (SeeB Remix),Mike Posner
I'm Like A Bird,Nelly Furtado
I'm Your Man,Wham!
I've Been Thinking About You,Londonbeat
If I Could Turn Back Time,Cher
If I Let You Go,Westlife
If You Leave,Orchestral Manoeuvres In The Dark
In The Shadows,The Rasmus
Iris Gold,Lover Of My Own
Jacob Dinesen,Take Her Away
James Bay,Hold Back The River
JAMES BLUNT,I'll be your man
James Morrison and Nelly Furtado,Broken Strings
Janet,The Commodores
Jason Derulo,Want to Want Me
Jax Jones ft. Demi Lovato and S,Instruction
Jay Frog & KLC,Da Beat (Club Mix)
Jeff Retro,Isle Of Man
JENNIE ft. Dua Lipa,Handlebars
Jerome & Imallryt,Still Need You
Jetfire & Qulinez,I Feel Feat. Karmatek
John Legend,All Of Me
Jonah Blacksmith,Up
Jonathan,Back to Back
JULIE,Completely fallen
Junior Caldera,What You Get
Justin Bieber,Sorry
Justin Bieber,What Do You Mean?
"Justin Bieber, Giveon, Daniel Caesar",Peaches
Justin Timberlake,Can't Stop The Feeling
Justin Timberlake,Can't Stop the Feeling!
Justin Timberlake,Mirrors
Justin Timberlake,What Goes Around... Comes Around
Kaaze,Drop The Power
KASHMIR,Rocket brothers
KATY PERRY,Birthday
Katy Perry,Roar
"Katy Perry, Skip Marley",Chained To The Rhythm
KELLY CLARKSON,Heartbeat song
KID ROCK,All summer long
"Kind Mod Kind, Medina",Love Isn't Easy
Kings Of Leon,Sex On Fire
Kokomo,The Beach Boys
Kwamie Liv,New Boo
KYGO / KYLA LA GRANGE,Cut your teeth (Kygo remix)
Kygo and Ava Max,Whatever
Lady Gaga,Abracadabra
LADY GAGA,Hold my hand
Lady GaGa,Poker Face
Lady Gaga ft. Colby O' Donis,Just Dance
Lasgo,Something (Faustix Extended Remix)
Lewis Capaldi,Someone You Loved
LEWIS CAPALDI,Before you go
Life Is A Highway,Tom Cochrane
Life's What You Make It,Talk Talk
LISA / DOJA CAT / RAYE,Born again (Purple Disco Machine remix)
Livin' On A Prayer,Bon Jovi
Living On My Own,Freddie Mercury
Lola Young,One Thing
Lola Young,Messy
Lorde,What Was That
Lose Control,Teddy Swims
LOST FREQUENCIES,Are you with me
Lost Frequencies ft. Calum Scott,Where Are You Now
Love Is A Stranger,Eurythmics
Love Is All Around,Wet Wet Wet
Lucky Lo,Yes To Myself
Lukas Graham,Take the World by Storm
Lukas Graham,Mama Said
Lukas Graham,You're Not There
"Luvstruck, Carlprit",The Summer Is Magic
Macklemore and Ryan Lewis ft. Ray Dalton,Can't Hold Us
Madonna,Material Girl
Mahkenna,Sing It Out
Mandala,Fly Project
Manic Monday,The Bangles
Marc Van Linden,There's Nothing I Won't Do (CJ Stone Remix)
Marco Laschi & Giona Guidi & Ron Carroll,The Light (Extended Mix)
Maria,Ricky Martin
Marie Frank,Symptom Of My Time
Mario,Let Me Love You
Mark Ambor,Belong Together
Mark Morrison,Return of the Mack
"Mark Ronson, Amy Winehouse",Valerie
MAROON 5,Maps
Maroon 5,Girls Like You
Maroon 5,Misery
Maroon 5,Payphone
Maroon 5,This Love
Maroon 5 ft. Christina Aguilera,Moves Like Jagger
"Maroon 5, LISA",Priceless
"Marshmello, P!nk, Sting",Dreaming
MARTIN GARRIX / LLOYISO,Real love
Mary J. Blige,Family Affair
MATOMA / THE NOTORIOUS B.I.G. / JA RULE / RALPH TREVANT,Old thing back
MATTAFIX,Big city life
MICHAEL BUBLÉ,It's a beautiful day
Michael Jackson,They Don't Care About Us
Michael Jackson,Beat It
Michael Jackson,Man In The Mirror
Michael Jackson,Thriller
Michael Jackson,The Way You Make Me Feel
Mike and the Mechanics,Over My Shoulder
Mike and the Mechanics,The Living Years
Mike Oldfield and Maggie Reilly,Moonlight Shadow
Miley Cyrus,End Of The World
Miley Cyrus,Flowers
MILEY CYRUS,Malibu
Million Dollar Baby,Tommy Richman
MIMI WEBB,Ghost of you
Minus Plus,Love Song (Smithee's Banger Remix)
Mokaby,Lonely With U
Money's Too Tight,Simply Red
Morgan Wallen ft. Tate McRae,What I Want
Myles Smith,Nice To Meet You
Myles Smith,Stargazing
Mø,Lose Yourself
N'Sync,It's Gonna Be Me
Nabiha,Mind The Gap
Nana,Life
Ne-Yo,Miss Independent
Need You Tonight,Inxs
Neelix,You
Nelly Furtado,Say It Right
Nelly Furtado ft. Timbaland,Promiscuous
New Song,Howard Jones
Nicki Minaj,Pound The Alarm
NICKY ROMERO & DAVID GUETTA,Shout
Nik and Jay,Novembervej
Nirvana,Smells Like Teen Spirit (Eric Mullder Vocal Bootleg Edit)
Noah Kahan,Stick Season
Nothing's Gonna Stop Us Now,Starship
Now Or Never Feat. Wiley (Ruff Loaderz Club Mix),Jodie Connor
Oasis,Don't Look Back In Anger
Olivia Rodrigo,vampire
One More Time,Daft Punk
OneRepublic,Apologize
Only You,Yazoo
ORA,Life Witness
ORA,Under The Influence
Out of It,Fallulah
Owl City and Carly Rae Jepsen,Good Time
P!NK,Beautiful trauma
P!nk,Never Gonna Not Dance Again
P!nk,So What
P!NK / WILLOW SAGE HART,Cover me in sunshine
Panic! At The Disco,High Hopes
Paradisio,Bailando
Patric Mcfly,Teenage Dirthouse (Topmodelz Remix)
Perfect,Fairground Attraction
"Philip Bailey, Phil Collins",Easy Lover
"Pitbull ft. Ne-yo, Afrojack and Nayer",Give Me Everything
"Pitbull, Chris Brown",International Love
"Pitbull, Marc Anthony",Rain Over Me
Please Don't Go Feat. Sandman (Dj Klubbingman Meets Raindropz Remix),Jaybee
Please Don't Leave Me,Pretty Maids
Post Malone,Circles
Post Malone ft. Morgan Wallen,I Had Some Help
Prince and The Revolution,Kiss
Promise Me,Beverley Craven
PURPLE DISCO MACHINE / SOPHIE AND THE GIANTS,In the dark
R3hab & Zroq,Feed The Skydrop Feat. Dada Life (Redline Bootleg)
Raindropz! Vs. Le Click,Tonight Is The Night (Extended Mix)
Rasmus Walter,Heart Of Stone
Ravyn Lenae,Love Me Not
RAYE ft. 070 Shake,Escapism
RED HOT CHILI PEPPERS,Snow ((Hey oh))
Red Hot Chilli Peppers,Dani California (Teddy Cream Bootleg)
Rich Girl (Miss California) Feat. David Celine,Audiosonik
Rihanna,Love On The Brain
Rihanna,Bitch Better Have My Money (R3hab Remix)
Rihanna,Don't Stop the Music
Rihanna,Only Girl
Rihanna,Only Girl (In the World)
Rihanna & Jay-Z,Umbrella
"Rihanna, Calvin Harris",We Found Love
Robbie Rivera,Come on Home
ROBBIE WILLIAMS,Let me entertain you
Robbie Williams,Feel
Robbie Williams,Love My Life
ROBIN SCHULZ / NERVO / KOPPY,Freaking you out
Robyn,Dancing on My Own
Rocazino,All my love
Romy,She's On My Mind
Rose and Bruno Mars,Apt.
Roxette,It Must Have Been Love
ROYA,Feel Something
RUDIMENTAL,These days
Running In The Family,Level 42
Sabrina Carpenter,Busy Woman
Sabrina Carpenter,Taste
SABRINA CARPENTER,"Please, please, please"
Sabrina Carpenter,Espresso
Saint clara,How I Love You
"Sam Smith, Normani Hamilton",Dancing With A Stranger
Save Me From Myself,Carpark North
Save Tonight,Eagle-Eye Cherry
Say My Name,"Morgan Seatree, Florence The Machine"
Scared To Be Lonely (MaLu Project Remix),Back 2 Base
SCISSOR SISTERS,I don't feel like dancing
Scooter,How Much Is The Fish
Shake Dat Ass Feat. Kadbury (Nick Skitz & Technoposse Remix Edit),DJ Lenno
Shake It To The Max,"MOLIY, Silent Addy, Skillibeng, Shenseea"
SHAKIRA,Whenever wherever
Shattered Dreams,Johnny Hates Jazz
Shaun Baker Vs. Seaside Clubbers,DUP DUP (Danceboy English )
Shawn Mendes,Treat You Better
SHAWN MENDES,There's nothing holdin' me back
Shawn Mendes,Mercy
Shawn Mendes,Why Why Why
Sira Jovina,Don't Go
Sitting Down Here,Lene Marlin
Slave To Love,Bryan Ferry
Somebody's Watching Me,Rockwell
Sonny Fodera and Clementine Douglas,Tell Me
Sophie Ellis-Bextor,Murder On The Dancefloor
Space Frog & The Grim Reaper,(X-Ray) Follow Me
Spice Girls,2 Become 1
Stardust,Music Sounds Better With You
Ste Ingham,Can You Feel It
Step By Step,New Kids On The Block
Steve Aoki & Darren Criss,Crash Into Me
Stromae,Alors On Danse
Stumblin' In,CYRIL
Suede,Beautiful Ones
Swan Lee,How Forgiveness Goes
Swan Lee,Tomorrow Never Dies
Sweat,Inner Circle
SWEDISH HOUSE MAFIA,Lioness (Argy remix)
Swedish House Mafia,Save The World Tonight
Sweet But Psycho,Ava Max
SZA,BMF
Tate McRae,Revolving Door
Tate McRae,Sports Car
Tate McRae,Greedy
Taylor Swift,Anti-Hero
Taylor Swift,I Knew You Were Trouble
Taylor Swift,Cruel Summer
TAYLOR SWIFT,Wildest dreams
Taylor Swift,The Man
Tegan & Sara,Feel It In My Bones Feat. Tiësto
Tell Her About It,Billy Joel
Tell Me Feat. Linnea Sars,Retinue
Tessa,Ben
The Actor,Michael Learns to Rock
The Best,Tina Turner
THE BLACK EYED PEAS,My humps
THE CALLING,Wherever you will go
The Cranberries,Ode To My Family
The Day After Tomorrow,Saybia
The Final Countdown,Europe
The Kid LAROI ft. Justin Bieber,Stay
The Look,Roxette
The Magic Key,One-T
The Mysterious Girl,Like a Prayer
The Raveonettes,Last Dance
The Reason,Hoobastank
The Rhythm Of The Night,Corona
The Rumour Said Fire,The Balcony
THE SCRIPT,No good in goodbye
THE WANTED,Glad you came
The Way to Your Heart,Soulsister
The Weeknd,Dancing In The Flames
The Weeknd,Can't Feel My Face
The Weeknd,Blinding Lights
The Weeknd,In Your Eyes
"The Weeknd, Daft Punk",Starboy
Thomas Helmig,Don't Leave Tonight
Timbaland,SexyBack (feat. Timbaland)
Timmy Trumpet & Dr Phunk & STVW,The Money
Tiësto/Teddy Swims,Lose Control
TLC,No Scrubs
Together (Lucas & Steve Remix),The Magician
Tom & Jame,What Goes Around
TOM GRENNAN,Remind me
Tones and I,Dance Monkey
Tones and I,Fly Away
TOPIC / ROBIN SCHULZ / NICO SANTOS / PAUL VAN DYK,In your arms (for an angel)
Train,Hey Soul Sister
Tribal Dance,2 Unlimited
Turn Back Time,Aqua
Turn up the music (DRM vs DAYZ remix edit),Killah Swagger
Twoloud,Traffic (Tiesto Edit)
Tyla,Water
U2,With Or Without You
USHER,Caught up
Usher ft. Lil Jon and Ludacris,Yeah!
Viro,Adam
Walking In Memphis,Marc Cohn
We The Kings,Friday Is Forever
Weak In The Presence Of Beauty,Alison Moyet
Weather With You,Crowded House
Westlife,World Of Our Own
What Goes Around.../..Comes Around (Interlude),Justin Timberlake
What I Want Feat. FVN,Kongsted
What Is Love,Haddaway
When You Say Nothing At All,Ronan Keating
Wherever You Will Go,The Calling
Whitney Houston,How Will I Know
Whitney Houston,I'm Your Baby Tonight
Who's That Girl,Eve
"WizTheMc, Tyla, bees and honey",Show Me Love
You Came,Kim Wilde
You Spin Me Round,Dead Or Alive
You're Beautiful,James Blunt
You're The Voice,John Farnham
Your Body Is A Wonderland,John Mayer
Zara Larsson,Lush Life
Zombie,The Cranberries
Zucchero and Paul Young,Senza Una Donna
Zuloo,CHECK
