Artist,Title
HJALMER,Som at sove på hotel (Rasmus Skøtt remix)
Hjalmer,Aldrig alene
Hjalmer,Kom Sommer
Hvis du ringer på mandag,Thomas Buttenschøn
IDA LAURBERG / ANDREAS ODBJERG,Jeg ka' rigtig godt li' dig
If I Was,Midge Ure
INFERNAL,Ten miles
Infernal,From Paris to Berlin
Jada,I'm Back
Jada,Keep Cool
Jada,Nudes
Jada,On Me
James Hype ft. Miggy Dela Rosa,Ferrari
Jeg elsker dig,News
Jeg PrØver Igen,Danseorkestret
Jonah Blacksmith,Up
JONAH BLACKSMITH,House on fire
Jonah Blacksmith,Yellow Bike
Justified And Ancient,Klf ft. Tammy Wynette
Jyden,Sommer
Jyderne,Æ Hjem og Sove
Karl William,Om igen
Karla Korsbak,Hen til det
Kato & Electric Lady Lab,Alive
"Kesi, Gilli",Su Casa
Kim Larsen,Midt om natten
"Kind Mod Kind, Medina",Love Isn't Easy
KRYD,Ikke nogens mere
Kvinder Og Kanoner (feat. Barbara Moleko),Djämes Braun
KYGO / WHITNEY HOUSTON,Higher love
Lamin,De her timer
Lean On Feat. Mø,Major Lazer X DJ Snake
Let's Hear It For The Boy,Deniece Williams
Lis Sørensen,Du Tænder Lys
Lis Sørensen,Mine øjne de skal se
Lis Sørensen,Tæt på ækvator
Lord Siva,California Dreamin'
Lord Siva,Solhverv
Lord Siva,Stjernerne
LUKAS GRAHAM,Lie
Lukas Graham,You You You
Madonna,Crazy For You
MADS LANGER,Eyes closed
MADS LANGER,Hanging with you
Mads Langer,3 AM
Malte Ebert,Er det mig du elsker?
Malte Ebert,Fortæl Mig Hvis Du Vil Noget Andet
Malte Ebert,Mindst Ondt
Marcus.wav,Det sker alt for tit
Mariah Carey and Boyz ll Men,One Sweet Day
MARIE KEY,Uden forsvar
"Marquis de Sade, Anne Linnet",Venus
MEDINA,Velkommen til Medina
Medina,Det smukkeste
Medina,Jalousi
Medina,Kun For Mig
Medina,Når intet er godt nok
Medina,Vi To
Men At Work,Down Under
MGMT,Kids
Midt i en drøm,One Two
Mightyfools & Cumfiesta,MEGA Super Lækker (Volde Bootleg
Mille,Drikker med mig selv
Money For Nothing,Dire Straits
Mumle,Det Modsatte
Mumle,Dårligt Match
Mumle,Et for dig
MYLES SMITH,Wait for you
Mø,Lose Yourself
MØ,Final Song
MØ / BIIG PIIG,Sweet
"MØ, Diplo",Sun In Our Eyes
NATASJA,Op med ho'det
"Natasja, Tessa, Karen Mukupa",Til banken
Nephew ft. Marie Key,Gå Med Dig
Nik & Jay,Hot
Nik & Jay,Magisk
NOAH,Før vi falder
OMAR,Samsø
Omar ft. Mumle,Hele Vejen
ozzy,Mit ord
PAGE FOUR,Fucking smuk
Pil,Gangen
Pil,Når du går herfra (Nattely)
Pil,Når jeg vågner II
Pil/Public Image Ltd.,Dronning Af Månen
Rasmus Nøhr,Sommer i Europa
Rasmus Seebach,Falder
Rasmus Seebach,Olivia
Ray Dee Ohh,Mandags-Stævnemøde
Ray Dee Ohh,Jeg vil la' lyset brænde
Rocazino,Elsk Mig I Nat
Sand kærlighedshistorie,Peter Sommer
Sanne Salomonsen,Hvis du forstod
SASO,I'm So Bored
SCARLET PLEASURE,Heat
Scarlet Pleasure,Discoteca
Scarlet Pleasure,Summertime
Scarlet Pleasure/Suzane,What a Life
Shaka Loveless,Dengang du græd
Shout,Tears For Fears
Sivas,Sidste timer
SKINZ,Åboulevarden
Skriv det på min gravsten,KRYD
Soleima,Livet begynder
Spandau Ballet,I'll Fly For You
Stella,Sign Here
Sting,Fields Of Gold
Stor Mand,Tobias Rahim ft. Andreas Odbjerg
Suspekt ft. URO,Tænker Ik På Andre
Svea S,Det ønsker jeg for dig
Så gik der tid med det,Tøsedrengene
"Søs Fenger, Thomas Helmig, Sanne Salomonsen & Anne Linnet","Den Jeg Elsker, Elsker Jeg"
Tessa,Ben
Tessa,Set Mer Feat. Jesper Livid
Thomas Helmig,Det er mig der står herude og banker på
Thomas Helmig,Gold Digger
Thomas Helmig,Stupid Man
Thor Farlov ft. Noah Carter,Alt Det
Thøger Dixgaard,Former
TOBIAS RAHIM,Vi 1
Tobias Rahim,STOR MAND
Tobias Rahim,Stimulanser Feat. Ida Laurberg
Tobias Rahim ft. Delara,Tæt På
"Tobias Rahim, Kabusa Oriental Choir",Regntid
Twenty One Pilots,Heathens
Tænker Ik På Andre,Suspekt ft. URO
UDE AF KONTROL / STEWART STARDUST,Mr. lummer
Under din sne,The Minds Of 99
URO,Bare en dreng
URO,Godthåbsvej
Uro,Min Bror
Vance Joy,Riptide
Vild $mith,Klogere Nu
Vill Ha Dig,Drömhus
VOLBEAT,Maybellene i hofteholder
Whitney Houston,Saving All My Love For You
Xander,Det burde ikk være sådan her
You're Not Alone,Mads Langer
